+0,randMin:0.3, 0.624, randMax:0.9, totalMax:1.32857142857
 +1,randMin:0.3, 0.742, randMax:0.95, totalMax:1.45
 +2,randMin:0.45, 0.774, randMax:0.95, totalMax:1.2
 +3,randMin:0.6, 0.788, randMax:0.95, totalMax:1.45
 +4,randMin:0.5, 0.784, randMax:0.9, totalMax:1.4
 +5,randMin:0.425, 0.741, randMax:0.95, totalMax:1.59285714286
 +6,randMin:0.4, 0.73, randMax:0.95, totalMax:1.45
 +7,randMin:0.45, 0.744, randMax:0.95, totalMax:1.30714285714
 +8,randMin:0.65, 0.79, randMax:0.9, totalMax:1.32857142857
 +9,randMin:0.6, 0.788, randMax:0.95, totalMax:1.59285714286
 +10,randMin:0.6, 0.77, randMax:0.9, totalMax:1.32857142857
 +11,randMin:0.55, 0.792, randMax:0.95, totalMax:1.52142857143
 +12,randMin:0.6, 0.782, randMax:0.95, totalMax:1.23571428571
 +13,randMin:0.45, 0.79, randMax:1.0, totalMax:1.57142857143
 +14,randMin:0.5, 0.762, randMax:0.95, totalMax:1.66428571429
 +15,randMin:0.45, 0.746, randMax:0.9, totalMax:1.61428571429
 +16,randMin:0.4, 0.71, randMax:1.0, totalMax:1.85714285714
 +17,randMin:0.35, 0.734, randMax:0.95, totalMax:1.30714285714
 +18,randMin:0.4, 0.717, randMax:0.9, totalMax:1.54285714286
 +19,randMin:0.35, 0.701, randMax:0.95, totalMax:1.35
 +20,randMin:0.2, 0.7, randMax:0.9, totalMax:1.36428571429
 +21,randMin:0.25, 0.712, randMax:0.9, totalMax:1.54285714286
 +22,randMin:0.2, 0.702, randMax:0.95, totalMax:1.16428571429
 +23,randMin:0.65, 0.821153846154, randMax:0.95, totalMax:1.59285714286
 +24,randMin:0.4, 0.744, randMax:0.95, totalMax:1.59285714286
 +25,randMin:0.55, 0.744230769231, randMax:0.95, totalMax:1.45
 +26,randMin:0.6, 0.79, randMax:0.95, totalMax:1.73571428571
 +27,randMin:0.3, 0.771153846154, randMax:0.95, totalMax:1.52142857143

 +0,randMin:0.3, 0.589, randMax:0.9, totalMax:1.32857142857
 +1,randMin:0.7, 0.816, randMax:0.9, totalMax:1.4
 +2,randMin:0.45, 0.762, randMax:0.95, totalMax:1.73571428571
 +3,randMin:0.35, 0.746, randMax:0.95, totalMax:1.73571428571
 +4,randMin:0.35, 0.758, randMax:0.9, totalMax:1.4
 +5,randMin:0.4, 0.774, randMax:0.95, totalMax:1.45
 +6,randMin:0.65, 0.816, randMax:0.95, totalMax:1.30714285714
 +7,randMin:0.65, 0.786, randMax:0.9, totalMax:1.54285714286
 +8,randMin:0.65, 0.818, randMax:0.95, totalMax:1.59285714286
 +9,randMin:0.5, 0.766, randMax:0.95, totalMax:1.37857142857
 +10,randMin:0.55, 0.78, randMax:0.95, totalMax:1.45
 +11,randMin:0.6, 0.748, randMax:0.9, totalMax:1.68571428571
 +12,randMin:0.4, 0.766, randMax:0.95, totalMax:1.45
 +13,randMin:0.6, 0.812, randMax:0.95, totalMax:1.85
 +14,randMin:0.5, 0.796, randMax:0.9, totalMax:1.22142857143
 +15,randMin:0.65, 0.804, randMax:1.0, totalMax:1.28571428571
 +16,randMin:0.5, 0.766, randMax:0.95, totalMax:1.37857142857
 +17,randMin:0.6, 0.808, randMax:0.95, totalMax:1.45
 +18,randMin:0.3, 0.79, randMax:0.95, totalMax:1.66428571429
 +19,randMin:0.6, 0.8, randMax:0.95, totalMax:1.59285714286
 +20,randMin:0.65, 0.786, randMax:0.9, totalMax:1.1
 +21,randMin:0.3, 0.792, randMax:1.0, totalMax:1.6
 +22,randMin:0.6, 0.81, randMax:0.95, totalMax:1.52142857143
 +23,randMin:0.5, 0.806, randMax:1.0, totalMax:1.42857142857
 +24,randMin:0.65, 0.794, randMax:1.0, totalMax:1.5
 +25,randMin:0.55, 0.798, randMax:0.9, totalMax:1.47142857143
 +26,randMin:0.6, 0.794, randMax:1.0, totalMax:1.5

 +0,randMin:0.2, 0.615, randMax:0.95, totalMax:1.2
 +1,randMin:0.5, 0.804, randMax:1.0, totalMax:1.21428571429
 +2,randMin:0.5, 0.77, randMax:1.0, totalMax:1.35714285714
 +3,randMin:0.65, 0.81, randMax:1.0, totalMax:1.64285714286
 +4,randMin:0.65, 0.802, randMax:1.0, totalMax:1.85714285714
 +5,randMin:0.35, 0.758, randMax:0.95, totalMax:1.45
 +6,randMin:0.55, 0.798, randMax:0.95, totalMax:1.62857142857
 +7,randMin:0.55, 0.782, randMax:1.0, totalMax:1.75
 +8,randMin:0.6, 0.79, randMax:1.0, totalMax:1.42857142857
 +9,randMin:0.4, 0.77, randMax:0.95, totalMax:1.23571428571
 +10,randMin:0.55, 0.764, randMax:0.9, totalMax:1.61428571429
 +11,randMin:0.65, 0.796, randMax:1.0, totalMax:1.5
 +12,randMin:0.55, 0.78, randMax:0.95, totalMax:1.87857142857
 +13,randMin:0.7, 0.814, randMax:0.95, totalMax:1.23571428571
 +14,randMin:0.6, 0.802, randMax:0.95, totalMax:1.53333333333
 +15,randMin:0.3, 0.75, randMax:1.0, totalMax:1.33333333333
 +16,randMin:0.55, 0.768, randMax:0.9, totalMax:1.3
 +17,randMin:0.55, 0.778846153846, randMax:0.9, totalMax:1.54285714286
 +18,randMin:0.65, 0.814, randMax:0.95, totalMax:1.45
 +19,randMin:0.3, 0.776, randMax:0.95, totalMax:1.59285714286
 +20,randMin:0.6, 0.798, randMax:0.95, totalMax:1.65
 +21,randMin:0.65, 0.824, randMax:0.95, totalMax:1.23571428571
 +22,randMin:0.45, 0.796, randMax:1.0, totalMax:1.5
 +23,randMin:0.45, 0.807692307692, randMax:0.95, totalMax:1.66428571429
 +24,randMin:0.5, 0.788461538462, randMax:1.0, totalMax:1.28571428571
 +25,randMin:0.4, 0.764, randMax:0.95, totalMax:1.23571428571
 +26,randMin:0.45, 0.776923076923, randMax:1.0, totalMax:1.42857142857
