Gen,rand-min,rand-avg,rand-max,best-overall
0,0.35, 0.62, 0.95, 1.52142857143
1,0.45, 0.768, 0.9, 1.32857142857
2,0.45, 0.746, 0.95, 1.55
3,0.35, 0.748, 0.95, 1.45
4,0.55, 0.758, 0.95, 1.7
5,0.4, 0.711, 0.9, 1.4
6,0.25, 0.764, 0.95, 1.37857142857
7,0.6, 0.778, 0.95, 1.16428571429
8,0.6, 0.773076923077, 0.95, 1.23571428571
9,0.65, 0.782, 0.95, 1.45
10,0.6, 0.76, 1.0, 1.35714285714
11,0.45, 0.764, 0.9, 1.4
12,0.3, 0.724, 0.9, 1.36428571429
13,0.5, 0.75, 0.9, 1.4
14,0.55, 0.741346153846, 0.95, 1.28333333333
15,0.5, 0.784, 0.95, 1.39444444444
16,0.4, 0.766, 0.9, 1.18571428571
17,0.65, 0.768, 0.9, 1.47142857143
18,0.65, 0.764, 0.95, 1.59285714286
19,0.55, 0.776, 0.95, 1.52142857143
20,0.5, 0.74, 0.9, 1.32857142857
21,0.55, 0.757692307692, 0.95, 1.59285714286
22,0.65, 0.798076923077, 1.0, 1.64285714286
23,0.55, 0.806, 0.95, 1.41428571429
24,0.45, 0.736, 0.9, 1.32857142857
25,0.45, 0.74, 0.9, 1.25714285714
