0,randMin:0.0, 0.502, randMax:0.95, totalMax:1.59285714286
1,randMin:0.45, 0.708, randMax:0.95, totalMax:1.45
2,randMin:0.45, 0.734, randMax:0.95, totalMax:1.30714285714
3,randMin:0.45, 0.664, randMax:0.85, totalMax:1.49285714286
4,randMin:0.45, 0.709, randMax:0.9, totalMax:1.18571428571
5,randMin:0.525, 0.771, randMax:1.0, totalMax:1.66666666667
6,randMin:0.25, 0.709, randMax:0.9, totalMax:1.6
7,randMin:0.275, 0.716346153846, randMax:0.9, totalMax:1.18571428571
8,randMin:0.4, 0.666, randMax:0.9, totalMax:1.54285714286
9,randMin:0.3, 0.662, randMax:0.9, totalMax:1.31666666667
10,randMin:0.225, 0.688461538462, randMax:0.9, totalMax:1.61428571429
11,randMin:0.45, 0.692307692308, randMax:0.9, totalMax:1.61428571429
12,randMin:0.35, 0.6875, randMax:0.9, totalMax:1.275
13,randMin:0.4, 0.717, randMax:0.95, totalMax:1.45
14,randMin:0.4, 0.684615384615, randMax:0.9, totalMax:1.47142857143
15,randMin:0.2, 0.687, randMax:0.9, totalMax:1.32857142857
16,randMin:0.4, 0.699038461538, randMax:0.9, totalMax:1.47142857143
17,randMin:0.5, 0.675, randMax:0.85, totalMax:1.63571428571
18,randMin:0.45, 0.712, randMax:0.9, totalMax:1.65
19,randMin:0.45, 0.73, randMax:0.95, totalMax:1.23571428571
20,randMin:0.45, 0.724, randMax:0.95, totalMax:1.48571428571
21,randMin:0.1, 0.729, randMax:0.9, totalMax:1.3
22,randMin:0.3, 0.752, randMax:0.9, totalMax:1.50714285714
23,randMin:0.5, 0.734, randMax:0.9, totalMax:1.25714285714
24,randMin:0.5, 0.736, randMax:0.95, totalMax:1.45
25,randMin:0.6, 0.737, randMax:0.9, totalMax:1.73333333333
